waveform_id,mass1,mass2,mass_ratio,symmetric_mass_ratio,delta,chi1z,chi2z,chi_s,chi_a,massf,chifz
SXS:BBH:0001,0.5,0.5,1.0,0.25,0.0,1.20930921804e-07,1.22196915414e-07,1.2156391860900002e-07,-6.329968049999979e-10,0.9516091058879218,0.686461676493
SXS:BBH:0002,0.5,0.5,1.0,0.25,0.0,9.48400673307e-08,9.3147982293e-08,9.399402481185e-08,8.460425188500053e-10,0.9516093481020814,0.686447876542
SXS:BBH:0007,0.5999998847780391,0.4000001152219609,1.4999992798629518,0.24000002304437892,0.199999769556078,8.64427645114e-08,1.55363889098e-07,1.1401122228726712e-07,-1.027992479379678e-08,0.9552692996381523,0.664090940995
SXS:BBH:0014,0.6001085460934816,0.3998914539065183,1.500678597231957,0.23997827899904925,0.2002170921869634,-0.499520000002,2.1691434624e-07,-0.2997661342036228,-0.29976630768800944,0.9624226210504427,0.540290671657
SXS:BBH:0019,0.5999942938100944,0.4000057061899056,1.4999643368218423,0.24000114120542052,0.1999885876201888,-0.499517,0.499464999999,-0.09991849961939572,-0.4994961997028782,0.9591381122974609,0.586755043515
SXS:BBH:0036,0.7500825267459538,0.24991747325404612,3.00132086396168,0.18745872981635925,0.5001650534919078,-0.499548000001,2.06568101878e-07,-0.37470217444665976,-0.3747022776966159,0.9771880567230657,0.316347247759
SXS:BBH:0045,0.7499877735567301,0.25001222644327,2.9998043864743114,0.18750611307214907,0.4999755471134601,0.499544,-0.499371000002,0.24980303682192095,0.4995007478853254,0.9623600516032473,0.741007150125
SXS:BBH:0046,0.7499867401744628,0.2500132598255373,2.999787854043477,0.18750662973694568,0.4999734803489254,-0.499535000001,-0.499355000001,-0.4994899976142314,-0.24979925489336904,0.977955134475529,0.299259423129
SXS:BBH:0047,0.7499879617350373,0.25001203826496265,2.9998073970350196,0.1875060189875615,0.4999759234700747,0.499546,0.499386000001,0.4995059980741276,0.24980097459165435,0.9581655759852987,0.768616541298
SXS:BBH:0055,0.8333329623616891,0.16666703763831092,4.999986645050533,0.13888913620318077,0.6666659247233782,2.96839923684e-07,3.70835704136e-07,3.0917258120966967e-07,1.855604046919412e-07,0.9823677715824113,0.416617559621
SXS:BBH:0056,0.8333330091016073,0.16666699089839263,4.9999883276805726,0.13888910504326774,0.6666660182032147,2.32159011654e-07,2.69647768421e-07,2.3840714993687764e-07,1.4852438560648828e-07,0.9823679493322591,0.416614481622
SXS:BBH:0063,0.888888509670408,0.11111149032959206,7.9999692834078795,0.09876572704632902,0.7777770193408159,2.0682688609e-07,4.29282215789e-07,2.3154422930461667e-07,1.36147855768006e-07,0.9894244844238309,0.306743698866
SXS:BBH:0064,0.8889316457546015,0.11106835424539847,8.003464639356801,0.09873217493061716,0.7778632915092031,-0.499559,4.97758467292e-07,-0.44407374873630917,-0.44407385930673676,0.9918672341670564,-0.0525784183851
SXS:BBH:0066,0.5,0.5,1.0,0.25,0.0,1.20916716917e-07,1.2219203119e-07,1.215543740535e-07,-6.376571364999901e-10,0.9516091150455475,0.686460407304
SXS:BBH:0067,0.5,0.5,1.0,0.25,0.0,1.2089943421e-07,1.22175940602e-07,1.2153768740599998e-07,-6.382531959999962e-10,0.9516063972290024,0.686467942181
SXS:BBH:0070,0.5,0.5,1.0,0.25,0.0,1.20921763909e-07,1.22190264669e-07,1.21556014289e-07,-6.342503800000083e-10,0.9516089724114489,0.686459511967
SXS:BBH:0072,0.5,0.5,1.0,0.25,0.0,1.20945405263e-07,1.22204953013e-07,1.2157517913800003e-07,-6.29773875e-10,0.9516094471454383,0.686458992376
SXS:BBH:0110,0.8333936661351511,0.16660633386484894,5.0021727674003085,0.1388486633809634,0.6667873322703022,0.49955,5.35882219171e-07,0.4163218951991866,0.4163217166364428,0.974498030740475,0.706723986694
